word,Usage Count in Current Curriculum,Usage Count in Draft Curriculum,Percent of total words in Current Curriculum,Percent of total words in Draft Curriculum,Percent change from Current to Draft Curriculum
k9,223,0,0.002686423322491266,0.0,-1.0
cc,109,0,0.0013130948078544753,0.0,-1.0
elementary,95,0,0.0011444404288639923,0.0,-1.0
lpp,91,0,0.00109625346343814,0.0,-1.0
tcc,81,0,0.0009757860498735093,0.0,-1.0
padm,67,0,0.0008071316708830261,0.0,-1.0
ict,53,0,0.000638477291892543,0.0,-1.0
concretely,49,0,0.0005902903264666907,0.0,-1.0
aboriginal,45,0,0.0005421033610408384,0.0,-1.0
cn,43,0,0.0005180098783279123,0.0,-1.0
pictorially,39,0,0.00046982291290206,0.0,-1.0
ps,35,0,0.0004216359474762077,0.0,-1.0
critically,33,0,0.00039754246476328154,0.0,-1.0
gc,33,0,0.00039754246476328154,0.0,-1.0
ie,30,0,0.0003614022406938923,0.0,-1.0
linguistic,23,0,0.0002770750511986508,0.0,-1.0
t,23,0,0.0002770750511986508,0.0,-1.0
exploratory,21,0,0.00025298156848572464,0.0,-1.0
attend,15,0,0.00018070112034694616,0.0,-1.0
electrical,15,0,0.00018070112034694616,0.0,-1.0
rational,15,0,0.00018070112034694616,0.0,-1.0
accomplishments,13,0,0.00015660763763402,0.0,-1.0
cooperatively,13,0,0.00015660763763402,0.0,-1.0
dealing,13,0,0.00015660763763402,0.0,-1.0
k12,13,0,0.00015660763763402,0.0,-1.0
wetland,13,0,0.00015660763763402,0.0,-1.0
framework,12,0,0.00014456089627755693,0.0,-1.0
wastes,12,0,0.00014456089627755693,0.0,-1.0
adaptations,11,0,0.00013251415492109386,0.0,-1.0
learner,11,0,0.00013251415492109386,0.0,-1.0
aircraft,10,0,0.00012046741356463077,0.0,-1.0
camera,10,0,0.00012046741356463077,0.0,-1.0
gradecourse,10,0,0.00012046741356463077,0.0,-1.0
software,10,0,0.00012046741356463077,0.0,-1.0
usefulness,10,0,0.00012046741356463077,0.0,-1.0
appendix,9,0,0.00010842067220816769,0.0,-1.0
association,9,0,0.00010842067220816769,0.0,-1.0
depiction,9,0,0.00010842067220816769,0.0,-1.0
expectation,9,0,0.00010842067220816769,0.0,-1.0
insects,9,0,0.00010842067220816769,0.0,-1.0
instructional,9,0,0.00010842067220816769,0.0,-1.0
library,9,0,0.00010842067220816769,0.0,-1.0
mm,9,0,0.00010842067220816769,0.0,-1.0
self-esteem,9,0,0.00010842067220816769,0.0,-1.0
shadows,9,0,0.00010842067220816769,0.0,-1.0
strand,9,0,0.00010842067220816769,0.0,-1.0
arise,8,0,9.637393085170462e-05,0.0,-1.0
cohesion,8,0,9.637393085170462e-05,0.0,-1.0
comments,8,0,9.637393085170462e-05,0.0,-1.0
favourite,8,0,9.637393085170462e-05,0.0,-1.0
format,8,0,9.637393085170462e-05,0.0,-1.0
links,8,0,9.637393085170462e-05,0.0,-1.0
magazines,8,0,9.637393085170462e-05,0.0,-1.0
perfect,8,0,9.637393085170462e-05,0.0,-1.0
sexuality,8,0,9.637393085170462e-05,0.0,-1.0
stitch,8,0,9.637393085170462e-05,0.0,-1.0
81,7,0,8.432718949524154e-05,0.0,-1.0
ax,7,0,8.432718949524154e-05,0.0,-1.0
circuits,7,0,8.432718949524154e-05,0.0,-1.0
concern,7,0,8.432718949524154e-05,0.0,-1.0
exponents,7,0,8.432718949524154e-05,0.0,-1.0
glossary,7,0,8.432718949524154e-05,0.0,-1.0
investigative,7,0,8.432718949524154e-05,0.0,-1.0
justifying,7,0,8.432718949524154e-05,0.0,-1.0
paleontology,7,0,8.432718949524154e-05,0.0,-1.0
polynomials,7,0,8.432718949524154e-05,0.0,-1.0
pre-established,7,0,8.432718949524154e-05,0.0,-1.0
preview,7,0,8.432718949524154e-05,0.0,-1.0
print-making,7,0,8.432718949524154e-05,0.0,-1.0
solfa,7,0,8.432718949524154e-05,0.0,-1.0
vastness,7,0,8.432718949524154e-05,0.0,-1.0
videos,7,0,8.432718949524154e-05,0.0,-1.0
watercraft,7,0,8.432718949524154e-05,0.0,-1.0
2s,6,0,7.228044813877847e-05,0.0,-1.0
5s,6,0,7.228044813877847e-05,0.0,-1.0
aspect,6,0,7.228044813877847e-05,0.0,-1.0
bulbs,6,0,7.228044813877847e-05,0.0,-1.0
c4,6,0,7.228044813877847e-05,0.0,-1.0
c731,6,0,7.228044813877847e-05,0.0,-1.0
conceptsgrade,6,0,7.228044813877847e-05,0.0,-1.0
cooperate,6,0,7.228044813877847e-05,0.0,-1.0
excluding,6,0,7.228044813877847e-05,0.0,-1.0
expository,6,0,7.228044813877847e-05,0.0,-1.0
foundations,6,0,7.228044813877847e-05,0.0,-1.0
geology,6,0,7.228044813877847e-05,0.0,-1.0
handmade,6,0,7.228044813877847e-05,0.0,-1.0
impressions,6,0,7.228044813877847e-05,0.0,-1.0
legibly,6,0,7.228044813877847e-05,0.0,-1.0
mnaa,6,0,7.228044813877847e-05,0.0,-1.0
montral,6,0,7.228044813877847e-05,0.0,-1.0
n,6,0,7.228044813877847e-05,0.0,-1.0
prints,6,0,7.228044813877847e-05,0.0,-1.0
radius,6,0,7.228044813877847e-05,0.0,-1.0
tempera,6,0,7.228044813877847e-05,0.0,-1.0
treatments,6,0,7.228044813877847e-05,0.0,-1.0
1s,5,0,6.0233706782315383e-05,0.0,-1.0
batteries,5,0,6.0233706782315383e-05,0.0,-1.0
c6,5,0,6.0233706782315383e-05,0.0,-1.0
c622,5,0,6.0233706782315383e-05,0.0,-1.0
c624,5,0,6.0233706782315383e-05,0.0,-1.0
c732,5,0,6.0233706782315383e-05,0.0,-1.0
captioned,5,0,6.0233706782315383e-05,0.0,-1.0
choric,5,0,6.0233706782315383e-05,0.0,-1.0
circuit,5,0,6.0233706782315383e-05,0.0,-1.0
circumference,5,0,6.0233706782315383e-05,0.0,-1.0
completing,5,0,6.0233706782315383e-05,0.0,-1.0
conceptual,5,0,6.0233706782315383e-05,0.0,-1.0
concerned,5,0,6.0233706782315383e-05,0.0,-1.0
containers,5,0,6.0233706782315383e-05,0.0,-1.0
decorate,5,0,6.0233706782315383e-05,0.0,-1.0
enter,5,0,6.0233706782315383e-05,0.0,-1.0
fostered,5,0,6.0233706782315383e-05,0.0,-1.0
